sandbox|file_url|file_name|type|name|redacted_properties|status|message
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
ProjectSanitizer|test/url_redaction_test.grf|urlRedactionDebugInput.csv|||fileURL|REDACTED|Potentially sensitive data in URL
