lineContent|fileURL
fileURL="https://api.example.com/data?password=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?passwd=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?pwd=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?pass=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?secret=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?secretkey=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?secret_key=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?client_secret=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?clientsecret=Sup3rS3cr3t&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?access_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?accesstoken=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?auth_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?authtoken=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?bearer_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?bearertoken=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?api_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?apitoken=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?id_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?refresh_token=eyJhbGciOiJIUzI1NiJ9&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?apikey=sk-prod-AbCdEf123456&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?api_key=sk-prod-AbCdEf123456&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?apikeyvalue=sk-prod-AbCdEf123456&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?x-api-key=sk-prod-AbCdEf123456&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?awsaccesskeyid=AKIAIOSFODNN7EXAMPLE&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?awssecretkey=wJalrXUtnFEMI%2FK7MDENG&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?awssecretaccesskey=wJalrXUtnFEMI%2FK7MDENG&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?aws_access_key_id=AKIAIOSFODNN7EXAMPLE&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?aws_secret_access_key=wJalrXUtnFEMI%2FK7MDENG&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?accesskey=AKIAIOSFODNN7EXAMPLE&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?access_key=AKIAIOSFODNN7EXAMPLE&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?access_key_id=AKIAIOSFODNN7EXAMPLE&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?accountkey=4Z3Y2X1W0VlongBase64key&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?account_key=4Z3Y2X1W0VlongBase64key&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?sharedaccesssignature=sv%3D2021%26sig%3DabcXYZ&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?sas=sv%3D2021%26sig%3DabcXYZ&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?sig=abcXYZ123456&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?privatekey=MIIEpAIBAAKCAQEA&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?private_key=MIIEpAIBAAKCAQEA&format=json"|test/url_redaction_test.grf
fileURL="https://api.example.com/data?format=json&page=1&limit=100"|test/url_redaction_test.grf
fileURL="${DATAIN_DIR}/input/data.csv"|test/url_redaction_test.grf
fileURL="sandbox://OtherSandbox/data/in/file.csv"|test/url_redaction_test.grf
fileURL="file:/C:/CloverDX/sandboxes/MySandbox/data-in/report.csv"|test/url_redaction_test.grf
fileURL="hdfs://MY_HADOOP_CONN/user/clover/data/input.dat"|test/url_redaction_test.grf
fileURL="https://public-api.example.com/data?format=json&page=1&limit=500&sort=asc"|test/url_redaction_test.grf
fileURL=https://api.example.com/data?password=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?passwd=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?pwd=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?pass=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?secret=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?secretkey=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?secret_key=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?client_secret=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?clientsecret=Sup3rS3cr3t&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?access_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?accesstoken=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?auth_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?authtoken=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?bearer_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?bearertoken=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?api_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?apitoken=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?id_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?refresh_token=eyJhbGciOiJIUzI1NiJ9&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?apikey=sk-prod-AbCdEf123456&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?api_key=sk-prod-AbCdEf123456&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?apikeyvalue=sk-prod-AbCdEf123456&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?x-api-key=sk-prod-AbCdEf123456&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?awsaccesskeyid=AKIAIOSFODNN7EXAMPLE&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?awssecretkey=wJalrXUtnFEMI%2FK7MDENG&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?awssecretaccesskey=wJalrXUtnFEMI%2FK7MDENG&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?aws_access_key_id=AKIAIOSFODNN7EXAMPLE&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?aws_secret_access_key=wJalrXUtnFEMI%2FK7MDENG&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?accesskey=AKIAIOSFODNN7EXAMPLE&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?access_key=AKIAIOSFODNN7EXAMPLE&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?access_key_id=AKIAIOSFODNN7EXAMPLE&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?accountkey=4Z3Y2X1W0VlongBase64key&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?account_key=4Z3Y2X1W0VlongBase64key&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?sharedaccesssignature=sv%3D2021%26sig%3DabcXYZ&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?sas=sv%3D2021%26sig%3DabcXYZ&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?sig=abcXYZ123456&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?privatekey=MIIEpAIBAAKCAQEA&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?private_key=MIIEpAIBAAKCAQEA&format=json|test/url_redaction_test.cfg
fileURL=https://api.example.com/data?format=json&page=1&limit=100|test/url_redaction_test.cfg
fileURL=${DATAIN_DIR}/input/data.csv|test/url_redaction_test.cfg
fileURL=sandbox://OtherSandbox/data/in/file.csv|test/url_redaction_test.cfg
fileURL=file:/C:/CloverDX/sandboxes/MySandbox/data-in/report.csv|test/url_redaction_test.cfg
fileURL=hdfs://MY_HADOOP_CONN/user/clover/data/input.dat|test/url_redaction_test.cfg
fileURL=https://public-api.example.com/data?format=json&page=1&limit=500&sort=asc|test/url_redaction_test.cfg
